county,state,date,cumulative_cases,New.cases
Amador County,CA,01/22/2020,0,0
Amador County,CA,01/29/2020,0,0
Amador County,CA,02/05/2020,0,0
Amador County,CA,02/12/2020,0,0
Amador County,CA,02/19/2020,0,0
Amador County,CA,02/26/2020,0,0
Amador County,CA,03/04/2020,0,0
Amador County,CA,03/11/2020,0,0
Amador County,CA,03/18/2020,0,0
Amador County,CA,03/25/2020,1,1
Amador County,CA,04/01/2020,1,0
Amador County,CA,04/08/2020,2,1
Amador County,CA,04/15/2020,6,4
Amador County,CA,04/22/2020,7,1
Amador County,CA,04/29/2020,8,1
Amador County,CA,05/06/2020,8,0
Amador County,CA,05/13/2020,8,0
Amador County,CA,05/20/2020,9,1
Amador County,CA,05/27/2020,10,1
Amador County,CA,06/03/2020,10,0
Amador County,CA,06/10/2020,10,0
Amador County,CA,06/17/2020,10,0
Amador County,CA,06/24/2020,13,3
Amador County,CA,07/01/2020,21,8
Amador County,CA,07/08/2020,33,12
Amador County,CA,07/15/2020,44,11
Amador County,CA,07/22/2020,55,11
Amador County,CA,07/29/2020,77,22
Amador County,CA,08/05/2020,123,46
Amador County,CA,08/12/2020,187,64
Amador County,CA,08/19/2020,215,28
Amador County,CA,08/26/2020,227,12
Amador County,CA,09/02/2020,244,17
Amador County,CA,09/09/2020,276,32
Amador County,CA,09/16/2020,282,6
Amador County,CA,09/23/2020,287,5
Amador County,CA,09/30/2020,294,7
Amador County,CA,10/07/2020,301,7
Amador County,CA,10/14/2020,306,5
Amador County,CA,10/21/2020,313,7
Amador County,CA,10/28/2020,335,22
Amador County,CA,11/04/2020,361,26
Amador County,CA,11/11/2020,384,23
Amador County,CA,11/18/2020,424,40
Amador County,CA,11/25/2020,471,47
Amador County,CA,12/02/2020,577,106
Amador County,CA,12/09/2020,1051,474
Amador County,CA,12/16/2020,1679,628
Amador County,CA,12/23/2020,1856,177
Amador County,CA,12/30/2020,2406,550
Amador County,CA,01/06/2021,2717,311
Amador County,CA,01/13/2021,2921,204
Amador County,CA,01/20/2021,3048,127
Amador County,CA,01/27/2021,3137,89
Amador County,CA,02/03/2021,3302,165
Amador County,CA,02/10/2021,3376,74
Amador County,CA,02/17/2021,3442,66
Amador County,CA,02/24/2021,3470,28
Amador County,CA,03/03/2021,3505,35
Amador County,CA,03/10/2021,3526,21
Amador County,CA,03/17/2021,3542,16
Amador County,CA,03/24/2021,3556,14
Amador County,CA,03/31/2021,3583,27
Amador County,CA,04/07/2021,3620,37
Amador County,CA,04/14/2021,3642,22
Amador County,CA,04/21/2021,3664,22
