county,state,date,cumulative_cases,New.cases
Amador County,CA,2021-01-06,2717,311
Amador County,CA,2021-01-13,2921,204
Amador County,CA,2021-01-20,3048,127
Amador County,CA,2021-01-27,3137,89
Amador County,CA,2021-02-03,3302,165
Amador County,CA,2021-02-10,3376,74
Amador County,CA,2021-02-17,3442,66
Amador County,CA,2021-02-24,3470,28
Amador County,CA,2021-03-03,3505,35
Amador County,CA,2021-03-10,3526,21
Amador County,CA,2021-03-17,3542,16
Amador County,CA,2021-03-24,3556,14
Amador County,CA,2021-03-31,3583,27
Amador County,CA,2021-04-07,3620,37
Amador County,CA,2021-04-14,3642,22
Amador County,CA,2021-04-21,3664,22
Amador County,CA,2021-04-28,3678,14
Amador County,CA,2021-05-05,3683,5
Amador County,CA,2021-05-12,3690,7
Amador County,CA,2021-05-19,3702,12
Amador County,CA,2021-05-26,3709,7
Amador County,CA,2021-06-02,3720,11
Amador County,CA,2021-06-09,3737,17
Amador County,CA,2021-06-16,3756,19
Amador County,CA,2021-06-23,3776,20
Amador County,CA,2021-06-30,3787,11
Amador County,CA,2021-07-07,3801,14
Amador County,CA,2021-07-14,3817,16
Amador County,CA,2021-07-21,3841,24
Amador County,CA,2021-07-28,3895,54
Amador County,CA,2021-08-04,3987,92
Amador County,CA,2021-08-11,4130,143
Amador County,CA,2021-08-18,4304,174
Amador County,CA,2021-08-25,4421,117
Amador County,CA,2021-09-01,4598,177
Amador County,CA,2021-09-08,4725,127
Amador County,CA,2021-09-15,4838,113
Amador County,CA,2021-09-22,4948,110
Amador County,CA,2021-09-29,5101,153
Amador County,CA,2021-10-06,5249,148
Amador County,CA,2021-10-13,5358,109
Amador County,CA,2021-10-20,5424,66
Amador County,CA,2021-10-27,5522,98
Amador County,CA,2021-11-03,5595,73
Amador County,CA,2021-11-10,5659,64
Amador County,CA,2021-11-17,5710,51
Amador County,CA,2021-11-24,5738,28
Amador County,CA,2021-12-01,5784,46
Amador County,CA,2021-12-08,5849,65
Amador County,CA,2021-12-15,5882,33
Amador County,CA,2021-12-22,5921,39
Amador County,CA,2021-12-29,5984,63
Contra Costa County,CA,2021-01-06,44187,4354
Contra Costa County,CA,2021-01-13,49078,4891
Contra Costa County,CA,2021-01-20,53636,4558
Contra Costa County,CA,2021-01-27,56310,2674
Contra Costa County,CA,2021-02-03,58552,2242
Contra Costa County,CA,2021-02-10,60343,1791
Contra Costa County,CA,2021-02-17,61626,1283
Contra Costa County,CA,2021-02-24,62693,1067
Contra Costa County,CA,2021-03-03,63649,956
Contra Costa County,CA,2021-03-10,64424,775
Contra Costa County,CA,2021-03-17,65071,647
Contra Costa County,CA,2021-03-24,65626,555
Contra Costa County,CA,2021-03-31,66192,566
Contra Costa County,CA,2021-04-07,66739,547
Contra Costa County,CA,2021-04-14,67485,746
Contra Costa County,CA,2021-04-21,68097,612
Contra Costa County,CA,2021-04-28,68697,600
Contra Costa County,CA,2021-05-05,69179,482
Contra Costa County,CA,2021-05-12,69671,492
Contra Costa County,CA,2021-05-19,70029,358
Contra Costa County,CA,2021-05-26,70457,428
Contra Costa County,CA,2021-06-02,70707,250
Contra Costa County,CA,2021-06-09,71078,371
Contra Costa County,CA,2021-06-16,71428,350
Contra Costa County,CA,2021-06-23,71818,390
Contra Costa County,CA,2021-06-30,72152,334
Contra Costa County,CA,2021-07-07,72625,473
Contra Costa County,CA,2021-07-14,73349,724
Contra Costa County,CA,2021-07-21,74614,1265
Contra Costa County,CA,2021-07-28,76763,2149
Contra Costa County,CA,2021-08-04,79320,2557
Contra Costa County,CA,2021-08-11,81649,2329
Contra Costa County,CA,2021-08-18,84198,2549
Contra Costa County,CA,2021-08-25,86748,2550
Contra Costa County,CA,2021-09-01,91373,4625
Contra Costa County,CA,2021-09-08,93048,1675
Contra Costa County,CA,2021-09-15,94743,1695
Contra Costa County,CA,2021-09-22,96075,1332
Contra Costa County,CA,2021-09-29,97151,1076
Contra Costa County,CA,2021-10-06,98183,1032
Contra Costa County,CA,2021-10-13,99010,827
Contra Costa County,CA,2021-10-20,99773,763
Contra Costa County,CA,2021-10-27,100551,778
Contra Costa County,CA,2021-11-03,101325,774
Contra Costa County,CA,2021-11-10,102018,693
Contra Costa County,CA,2021-11-17,102636,618
Contra Costa County,CA,2021-11-24,103312,676
Contra Costa County,CA,2021-12-01,103925,613
Contra Costa County,CA,2021-12-08,104856,931
Contra Costa County,CA,2021-12-15,105606,750
Contra Costa County,CA,2021-12-22,106851,1245
Contra Costa County,CA,2021-12-29,110187,3336
El Dorado County,CA,2021-01-06,6663,796
El Dorado County,CA,2021-01-13,7636,973
El Dorado County,CA,2021-01-20,8274,638
El Dorado County,CA,2021-01-27,8669,395
El Dorado County,CA,2021-02-03,8973,304
El Dorado County,CA,2021-02-10,9245,272
El Dorado County,CA,2021-02-17,9428,183
El Dorado County,CA,2021-02-24,9565,137
El Dorado County,CA,2021-03-03,9714,149
El Dorado County,CA,2021-03-10,9799,85
El Dorado County,CA,2021-03-17,9851,52
El Dorado County,CA,2021-03-24,9929,78
El Dorado County,CA,2021-03-31,10003,74
El Dorado County,CA,2021-04-07,10126,123
El Dorado County,CA,2021-04-14,10270,144
El Dorado County,CA,2021-04-21,10427,157
El Dorado County,CA,2021-04-28,10564,137
El Dorado County,CA,2021-05-05,10721,157
El Dorado County,CA,2021-05-12,10830,109
El Dorado County,CA,2021-05-19,10895,65
El Dorado County,CA,2021-05-26,10969,74
El Dorado County,CA,2021-06-02,11006,37
El Dorado County,CA,2021-06-09,11047,41
El Dorado County,CA,2021-06-16,11080,33
El Dorado County,CA,2021-06-23,11137,57
El Dorado County,CA,2021-06-30,11190,53
El Dorado County,CA,2021-07-07,11263,73
El Dorado County,CA,2021-07-14,11377,114
El Dorado County,CA,2021-07-21,11552,175
El Dorado County,CA,2021-07-28,11796,244
El Dorado County,CA,2021-08-04,12178,382
El Dorado County,CA,2021-08-11,12733,555
El Dorado County,CA,2021-08-18,13322,589
El Dorado County,CA,2021-08-25,13916,594
El Dorado County,CA,2021-09-01,14807,891
El Dorado County,CA,2021-09-08,15274,467
El Dorado County,CA,2021-09-15,15714,440
El Dorado County,CA,2021-09-22,16093,379
El Dorado County,CA,2021-09-29,16351,258
El Dorado County,CA,2021-10-06,16648,297
El Dorado County,CA,2021-10-13,16909,261
El Dorado County,CA,2021-10-20,17127,218
El Dorado County,CA,2021-10-27,17365,238
El Dorado County,CA,2021-11-03,17589,224
El Dorado County,CA,2021-11-10,17800,211
El Dorado County,CA,2021-11-17,17997,197
El Dorado County,CA,2021-11-24,18167,170
El Dorado County,CA,2021-12-01,18341,174
El Dorado County,CA,2021-12-08,18546,205
El Dorado County,CA,2021-12-15,18738,192
El Dorado County,CA,2021-12-22,18952,214
El Dorado County,CA,2021-12-29,19337,385
Kings County,CA,2021-01-06,17516,1178
Kings County,CA,2021-01-13,18804,1288
Kings County,CA,2021-01-20,20181,1377
Kings County,CA,2021-01-27,21026,845
Kings County,CA,2021-02-03,21703,677
Kings County,CA,2021-02-10,22219,516
Kings County,CA,2021-02-17,22548,329
Kings County,CA,2021-02-24,22821,273
Kings County,CA,2021-03-03,23003,182
Kings County,CA,2021-03-10,23157,154
Kings County,CA,2021-03-17,23349,192
Kings County,CA,2021-03-24,23481,132
Kings County,CA,2021-03-31,23583,102
Kings County,CA,2021-04-07,23647,64
Kings County,CA,2021-04-14,23708,61
Kings County,CA,2021-04-21,23770,62
Kings County,CA,2021-04-28,23845,75
Kings County,CA,2021-05-05,23920,75
Kings County,CA,2021-05-12,23993,73
Kings County,CA,2021-05-19,24027,34
Kings County,CA,2021-05-26,24055,28
Kings County,CA,2021-06-02,24091,36
Kings County,CA,2021-06-09,24150,59
Kings County,CA,2021-06-16,24167,17
Kings County,CA,2021-06-23,24167,0
Kings County,CA,2021-06-30,24167,0
Kings County,CA,2021-07-07,24215,48
Kings County,CA,2021-07-14,24281,66
Kings County,CA,2021-07-21,24419,138
Kings County,CA,2021-07-28,24652,233
Kings County,CA,2021-08-04,25014,362
Kings County,CA,2021-08-11,25540,526
Kings County,CA,2021-08-18,26288,748
Kings County,CA,2021-08-25,27047,759
Kings County,CA,2021-09-01,27888,841
Kings County,CA,2021-09-08,28716,828
Kings County,CA,2021-09-15,29589,873
Kings County,CA,2021-09-22,30227,638
Kings County,CA,2021-09-29,30877,650
Kings County,CA,2021-10-06,31532,655
Kings County,CA,2021-10-13,32026,494
Kings County,CA,2021-10-20,32638,612
Kings County,CA,2021-10-27,33314,676
Kings County,CA,2021-11-03,33866,552
Kings County,CA,2021-11-10,34282,416
Kings County,CA,2021-11-17,34638,356
Kings County,CA,2021-11-24,34938,300
Kings County,CA,2021-12-01,35140,202
