County,State,Date,cumulative_cases,New.cases,Pop_Vacs,Pop_Vacs_Pct
Amador County,CA,12/16/2020,1679,628,0,0
Amador County,CA,12/23/2020,1856,177,0,0
Amador County,CA,12/30/2020,2406,550,0,0
Amador County,CA,01/06/2021,2717,311,0,0
Amador County,CA,01/13/2021,2921,204,633,1.6
Amador County,CA,01/20/2021,3048,127,1441,3.6
Amador County,CA,01/27/2021,3137,89,2214,5.6
Amador County,CA,02/03/2021,3302,165,3101,7.8
Amador County,CA,02/10/2021,3376,74,3945,9.9
Amador County,CA,02/17/2021,3442,66,5534,13.9
Amador County,CA,02/24/2021,3470,28,6859,17.3
Amador County,CA,03/03/2021,3505,35,8459,21.3
Amador County,CA,03/10/2021,3526,21,9298,23.4
Amador County,CA,03/17/2021,3542,16,10412,26.2
Amador County,CA,03/24/2021,3556,14,12349,31.1
Amador County,CA,03/31/2021,3583,27,13887,34.9
Amador County,CA,04/07/2021,3620,37,14918,37.5
Amador County,CA,04/14/2021,3642,22,16081,40.5
Amador County,CA,04/21/2021,3664,22,16939,42.6
Amador County,CA,04/28/2021,3678,14,17895,45
Amador County,CA,05/05/2021,3683,5,18413,46.3
Amador County,CA,05/12/2021,3690,7,18993,47.8
Amador County,CA,05/19/2021,3702,12,19312,48.6
Amador County,CA,05/26/2021,3709,7,19774,49.7
Amador County,CA,06/02/2021,3720,11,20059,50.5
Amador County,CA,06/09/2021,3737,17,20194,50.8
Amador County,CA,06/16/2021,3756,19,20405,51.3
Amador County,CA,06/23/2021,3776,20,20866,52.5
Amador County,CA,06/30/2021,3787,11,21271,53.5
Amador County,CA,07/07/2021,3801,14,21657,54.5
Amador County,CA,07/14/2021,3817,16,21929,55.2
Amador County,CA,07/21/2021,3841,24,22157,55.7
Amador County,CA,07/28/2021,3895,54,22436,56.4
Amador County,CA,08/04/2021,3987,92,22705,57.1
Amador County,CA,08/11/2021,4130,143,23157,58.3
Amador County,CA,08/18/2021,4304,174,23564,59.3
Amador County,CA,08/25/2021,4421,117,23903,60.1
Amador County,CA,09/01/2021,4598,177,24225,60.9
Amador County,CA,09/08/2021,4725,127,24431,61.5
Amador County,CA,09/15/2021,4838,113,24675,62.1
Amador County,CA,09/22/2021,4948,110,25093,63.1
Amador County,CA,09/29/2021,5101,153,26097,65.6
Amador County,CA,10/06/2021,5249,148,26368,66.3
Amador County,CA,10/13/2021,5358,109,26737,67.3
Amador County,CA,10/20/2021,5424,66,26912,67.7
Amador County,CA,10/27/2021,5522,98,27181,68.4
Amador County,CA,11/03/2021,5595,73,27860,70.1
Amador County,CA,11/10/2021,5659,64,28349,71.3
Amador County,CA,11/17/2021,5710,51,28928,72.8
Amador County,CA,11/24/2021,5738,28,29376,73.9
Amador County,CA,12/01/2021,5784,46,29715,74.8
Amador County,CA,12/08/2021,5849,65,30184,75.9
Amador County,CA,12/15/2021,5882,33,30475,76.7
Amador County,CA,12/22/2021,5921,39,30790,77.5
Amador County,CA,12/29/2021,5984,63,31060,78.1
Amador County,CA,01/05/2022,6138,154,31249,78.6
Amador County,CA,01/12/2022,6488,350,31610,79.5
Amador County,CA,01/19/2022,7007,519,31923,80.3
Amador County,CA,01/26/2022,7861,854,32210,81
Amador County,CA,02/02/2022,8377,516,26016,65.4
Amador County,CA,02/09/2022,8644,267,26162,65.8
Amador County,CA,02/16/2022,8806,162,26277,66.1
Amador County,CA,02/23/2022,8884,78,26422,66.5
Amador County,CA,03/02/2022,8982,98,26523,66.7
Amador County,CA,03/09/2022,9061,79,26451,66.5
Amador County,CA,03/16/2022,9100,39,26505,66.7
Amador County,CA,03/23/2022,9106,6,26564,66.8
Amador County,CA,03/30/2022,9127,21,26616,67
Amador County,CA,04/06/2022,9134,7,26709,67.2
Amador County,CA,04/13/2022,9135,1,26761,67.3
Amador County,CA,04/20/2022,9140,5,26852,67.5
Amador County,CA,04/27/2022,9174,34,26913,67.7
Amador County,CA,05/04/2022,9210,36,27005,67.9
Amador County,CA,05/11/2022,9230,20,27081,68.1
Amador County,CA,05/18/2022,9261,31,26648,67
Amador County,CA,05/25/2022,9329,68,26780,67.4
Amador County,CA,06/01/2022,9419,90,26899,67.7
Amador County,CA,06/08/2022,9506,87,26759,67.3
Amador County,CA,06/15/2022,9664,158,26818,67.5
Amador County,CA,06/22/2022,9751,87,26866,67.6
Amador County,CA,06/29/2022,9946,195,26930,67.7
Amador County,CA,07/06/2022,10074,128,26964,67.8
Amador County,CA,07/13/2022,10171,97,26790,67.4
Amador County,CA,07/20/2022,10281,110,26853,67.6
Amador County,CA,07/27/2022,10400,119,26900,67.7
Amador County,CA,08/03/2022,10458,58,26950,67.8
Amador County,CA,08/10/2022,10508,50,26896,67.7
Amador County,CA,08/17/2022,10585,77,26925,67.7
Amador County,CA,08/24/2022,10653,68,26949,67.8
Amador County,CA,08/31/2022,10723,70,26963,67.8
Amador County,CA,09/07/2022,10790,67,26971,67.8
Amador County,CA,09/14/2022,10826,36,26926,67.7
Amador County,CA,09/21/2022,10875,49,26977,67.9
Amador County,CA,09/28/2022,10910,35,27141,68.3
Amador County,CA,10/05/2022,10924,14,27341,68.8
Amador County,CA,10/12/2022,10942,18,31124,78.3
Amador County,CA,10/19/2022,10955,13,31252,78.6
Amador County,CA,10/26/2022,10967,12,31257,78.6
Amador County,CA,11/02/2022,10984,17,31275,78.7
Amador County,CA,11/09/2022,11009,25,31383,78.9
Amador County,CA,11/16/2022,11036,27,31482,79.2
Amador County,CA,11/23/2022,11060,24,31488,79.2
Amador County,CA,11/30/2022,11078,18,23621,59.4
Amador County,CA,12/07/2022,11124,46,23643,59.5
Amador County,CA,12/14/2022,11164,40,23665,59.5
Amador County,CA,12/21/2022,11225,61,23668,59.5
Amador County,CA,12/28/2022,11273,48,23686,59.6
Amador County,CA,01/04/2023,11300,27,23689,59.6
Amador County,CA,01/11/2023,11346,46,23691,59.6
Amador County,CA,01/18/2023,11362,16,23748,59.7
Amador County,CA,01/25/2023,11405,43,23755,59.8
Amador County,CA,02/01/2023,11432,27,23763,59.8
Amador County,CA,02/08/2023,11462,30,23754,59.8
Amador County,CA,02/15/2023,11489,27,23759,59.8
Amador County,CA,02/22/2023,11506,17,23765,59.8
Amador County,CA,03/01/2023,11540,34,23767,59.8
Amador County,CA,03/08/2023,11553,13,23770,59.8
Amador County,CA,03/15/2023,11576,23,23774,59.8
Amador County,CA,03/22/2023,11584,8,23775,59.8
Amador County,CA,03/29/2023,11597,13,23781,59.8
Amador County,CA,04/05/2023,11609,12,23783,59.8
Amador County,CA,04/12/2023,11634,25,23783,59.8
Amador County,CA,04/19/2023,11674,40,23787,59.8
Amador County,CA,04/26/2023,11688,14,23788,59.8
Amador County,CA,05/03/2023,11695,7,23792,59.9
Amador County,CA,05/10/2023,11705,10,23795,59.9
Contra Costa County,CA,12/16/2020,31749,3566,0,0
Contra Costa County,CA,12/23/2020,36157,4408,0,0
Contra Costa County,CA,12/30/2020,39833,3676,0,0
Contra Costa County,CA,01/06/2021,44187,4354,0,0
Contra Costa County,CA,01/13/2021,49078,4891,27636,2.4
Contra Costa County,CA,01/20/2021,53636,4558,45680,4
Contra Costa County,CA,01/27/2021,56310,2674,80314,7
Contra Costa County,CA,02/03/2021,58552,2242,110799,9.6
Contra Costa County,CA,02/10/2021,60343,1791,141767,12.3
Contra Costa County,CA,02/17/2021,61626,1283,172217,14.9
Contra Costa County,CA,02/24/2021,62693,1067,201124,17.4
Contra Costa County,CA,03/03/2021,63649,956,228412,19.8
Contra Costa County,CA,03/10/2021,64424,775,253973,22
Contra Costa County,CA,03/17/2021,65071,647,295349,25.6
Contra Costa County,CA,03/24/2021,65626,555,344718,29.9
Contra Costa County,CA,03/31/2021,66192,566,401743,34.8
Contra Costa County,CA,04/07/2021,66739,547,467030,40.5
Contra Costa County,CA,04/14/2021,67485,746,526869,45.7
Contra Costa County,CA,04/21/2021,68097,612,587432,50.9
Contra Costa County,CA,04/28/2021,68697,600,619514,53.7
Contra Costa County,CA,05/05/2021,69179,482,639904,55.5
Contra Costa County,CA,05/12/2021,69671,492,657242,57
Contra Costa County,CA,05/19/2021,70029,358,678749,58.8
Contra Costa County,CA,05/26/2021,70457,428,702882,60.9
Contra Costa County,CA,06/02/2021,70707,250,715317,62
Contra Costa County,CA,06/09/2021,71078,371,728335,63.1
Contra Costa County,CA,06/16/2021,71428,350,738987,64.1
Contra Costa County,CA,06/23/2021,71818,390,748146,64.9
Contra Costa County,CA,06/30/2021,72152,334,758135,65.7
Contra Costa County,CA,07/07/2021,72625,473,764756,66.3
Contra Costa County,CA,07/14/2021,73349,724,772994,67
Contra Costa County,CA,07/21/2021,74614,1265,780298,67.6
Contra Costa County,CA,07/28/2021,76763,2149,789918,68.5
Contra Costa County,CA,08/04/2021,79320,2557,799315,69.3
Contra Costa County,CA,08/11/2021,81649,2329,810787,70.3
Contra Costa County,CA,08/18/2021,84198,2549,820293,71.1
Contra Costa County,CA,08/25/2021,86748,2550,827191,71.7
Contra Costa County,CA,09/01/2021,91373,4625,837465,72.6
Contra Costa County,CA,09/08/2021,93048,1675,842422,73
Contra Costa County,CA,09/15/2021,94743,1695,848704,73.6
Contra Costa County,CA,09/22/2021,96075,1332,855841,74.2
Contra Costa County,CA,09/29/2021,97151,1076,864240,74.9
Contra Costa County,CA,10/06/2021,98183,1032,872208,75.6
Contra Costa County,CA,10/13/2021,99010,827,879081,76.2
Contra Costa County,CA,10/20/2021,99773,763,884734,76.7
Contra Costa County,CA,10/27/2021,100551,778,891168,77.3
Contra Costa County,CA,11/03/2021,101325,774,896483,77.7
Contra Costa County,CA,11/10/2021,102018,693,905104,78.5
Contra Costa County,CA,11/17/2021,102636,618,921961,79.9
Contra Costa County,CA,11/24/2021,103312,676,936866,81.2
Contra Costa County,CA,12/01/2021,103925,613,945186,81.9
Contra Costa County,CA,12/08/2021,104856,931,954565,82.8
Contra Costa County,CA,12/15/2021,105606,750,963163,83.5
Contra Costa County,CA,12/22/2021,106851,1245,971996,84.3
Contra Costa County,CA,12/29/2021,110187,3336,979580,84.9
Contra Costa County,CA,01/05/2022,120945,10758,986916,85.6
