County,State,Date,cumulative_cases,new_cases,Pop_Vacs,Pop_Vacs_Pct,Vaccinations
Amador County,CA,2021-01-06,2717,311,0,0,0
Amador County,CA,2021-01-13,2921,204,633,1.6,633
Amador County,CA,2021-01-20,3048,127,1441,3.6,808
Amador County,CA,2021-01-27,3137,89,2214,5.6,773
Amador County,CA,2021-02-03,3302,165,3101,7.8,887
Amador County,CA,2021-02-10,3376,74,3945,9.9,844
Amador County,CA,2021-02-17,3442,66,5534,13.9,1589
Amador County,CA,2021-02-24,3470,28,6859,17.3,1325
Amador County,CA,2021-03-03,3505,35,8459,21.3,1600
Amador County,CA,2021-03-10,3526,21,9298,23.4,839
Amador County,CA,2021-03-17,3542,16,10412,26.2,1114
Amador County,CA,2021-03-24,3556,14,12349,31.1,1937
Amador County,CA,2021-03-31,3583,27,13887,34.9,1538
Amador County,CA,2021-04-07,3620,37,14918,37.5,1031
Amador County,CA,2021-04-14,3642,22,16081,40.5,1163
Amador County,CA,2021-04-21,3664,22,16939,42.6,858
Amador County,CA,2021-04-28,3678,14,17895,45,956
Amador County,CA,2021-05-05,3683,5,18413,46.3,518
Amador County,CA,2021-05-12,3690,7,18993,47.8,580
Amador County,CA,2021-05-19,3702,12,19312,48.6,319
Amador County,CA,2021-05-26,3709,7,19774,49.7,462
Amador County,CA,2021-06-02,3720,11,20059,50.5,285
Amador County,CA,2021-06-09,3737,17,20194,50.8,135
Amador County,CA,2021-06-16,3756,19,20405,51.3,211
Amador County,CA,2021-06-23,3776,20,20866,52.5,461
Amador County,CA,2021-06-30,3787,11,21271,53.5,405
Amador County,CA,2021-07-07,3801,14,21657,54.5,386
Amador County,CA,2021-07-14,3817,16,21929,55.2,272
Amador County,CA,2021-07-21,3841,24,22157,55.7,228
Amador County,CA,2021-07-28,3895,54,22436,56.4,279
Amador County,CA,2021-08-04,3987,92,22705,57.1,269
Amador County,CA,2021-08-11,4130,143,23157,58.3,452
Amador County,CA,2021-08-18,4304,174,23564,59.3,407
Amador County,CA,2021-08-25,4421,117,23903,60.1,339
Amador County,CA,2021-09-01,4598,177,24225,60.9,322
Amador County,CA,2021-09-08,4725,127,24431,61.5,206
Amador County,CA,2021-09-15,4838,113,24675,62.1,244
Amador County,CA,2021-09-22,4948,110,25093,63.1,418
Amador County,CA,2021-09-29,5101,153,26097,65.6,1004
Amador County,CA,2021-10-06,5249,148,26368,66.3,271
Amador County,CA,2021-10-13,5358,109,26737,67.3,369
Amador County,CA,2021-10-20,5424,66,26912,67.7,175
Amador County,CA,2021-10-27,5522,98,27181,68.4,269
Amador County,CA,2021-11-03,5595,73,27860,70.1,679
Amador County,CA,2021-11-10,5659,64,28349,71.3,489
Amador County,CA,2021-11-17,5710,51,28928,72.8,579
Amador County,CA,2021-11-24,5738,28,29376,73.9,448
Amador County,CA,2021-12-01,5784,46,29715,74.8,339
Amador County,CA,2021-12-08,5849,65,30184,75.9,469
Amador County,CA,2021-12-15,5882,33,30475,76.7,291
Amador County,CA,2021-12-22,5921,39,30790,77.5,315
Amador County,CA,2021-12-29,5984,63,31060,78.1,270
Contra Costa County,CA,2021-01-06,44187,4354,0,0,0
Contra Costa County,CA,2021-01-13,49078,4891,27636,2.4,27636
Contra Costa County,CA,2021-01-20,53636,4558,45680,4,18044
Contra Costa County,CA,2021-01-27,56310,2674,80314,7,34634
Contra Costa County,CA,2021-02-03,58552,2242,110799,9.6,30485
Contra Costa County,CA,2021-02-10,60343,1791,141767,12.3,30968
Contra Costa County,CA,2021-02-17,61626,1283,172217,14.9,30450
Contra Costa County,CA,2021-02-24,62693,1067,201124,17.4,28907
Contra Costa County,CA,2021-03-03,63649,956,228412,19.8,27288
Contra Costa County,CA,2021-03-10,64424,775,253973,22,25561
Contra Costa County,CA,2021-03-17,65071,647,295349,25.6,41376
Contra Costa County,CA,2021-03-24,65626,555,344718,29.9,49369
Contra Costa County,CA,2021-03-31,66192,566,401743,34.8,57025
Contra Costa County,CA,2021-04-07,66739,547,467030,40.5,65287
Contra Costa County,CA,2021-04-14,67485,746,526869,45.7,59839
Contra Costa County,CA,2021-04-21,68097,612,587432,50.9,60563
Contra Costa County,CA,2021-04-28,68697,600,619514,53.7,32082
Contra Costa County,CA,2021-05-05,69179,482,639904,55.5,20390
Contra Costa County,CA,2021-05-12,69671,492,657242,57,17338
Contra Costa County,CA,2021-05-19,70029,358,678749,58.8,21507
Contra Costa County,CA,2021-05-26,70457,428,702882,60.9,24133
Contra Costa County,CA,2021-06-02,70707,250,715317,62,12435
Contra Costa County,CA,2021-06-09,71078,371,728335,63.1,13018
Contra Costa County,CA,2021-06-16,71428,350,738987,64.1,10652
Contra Costa County,CA,2021-06-23,71818,390,748146,64.9,9159
Contra Costa County,CA,2021-06-30,72152,334,758135,65.7,9989
Contra Costa County,CA,2021-07-07,72625,473,764756,66.3,6621
Contra Costa County,CA,2021-07-14,73349,724,772994,67,8238
Contra Costa County,CA,2021-07-21,74614,1265,780298,67.6,7304
Contra Costa County,CA,2021-07-28,76763,2149,789918,68.5,9620
Contra Costa County,CA,2021-08-04,79320,2557,799315,69.3,9397
Contra Costa County,CA,2021-08-11,81649,2329,810787,70.3,11472
Contra Costa County,CA,2021-08-18,84198,2549,820293,71.1,9506
Contra Costa County,CA,2021-08-25,86748,2550,827191,71.7,6898
Contra Costa County,CA,2021-09-01,91373,4625,837465,72.6,10274
Contra Costa County,CA,2021-09-08,93048,1675,842422,73,4957
Contra Costa County,CA,2021-09-15,94743,1695,848704,73.6,6282
Contra Costa County,CA,2021-09-22,96075,1332,855841,74.2,7137
Contra Costa County,CA,2021-09-29,97151,1076,864240,74.9,8399
Contra Costa County,CA,2021-10-06,98183,1032,872208,75.6,7968
