County,State,Date,cumulative_cases,New.cases,Pop_Vacs,Pop_Vacs_Pct,svi,ses,hhc,rems,htt
Amador County,CA,01/22/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/29/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/05/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/12/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/19/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/26/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/04/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/11/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/18/2020,0,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/25/2020,1,1,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/01/2020,1,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/08/2020,2,1,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/15/2020,6,4,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/22/2020,7,1,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/29/2020,8,1,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/06/2020,8,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/13/2020,8,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/20/2020,9,1,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/27/2020,10,1,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/03/2020,10,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/10/2020,10,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/17/2020,10,0,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/24/2020,13,3,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/01/2020,21,8,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/08/2020,33,12,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/15/2020,44,11,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/22/2020,55,11,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/29/2020,77,22,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/05/2020,123,46,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/12/2020,187,64,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/19/2020,215,28,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/26/2020,227,12,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/02/2020,244,17,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/09/2020,276,32,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/16/2020,282,6,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/23/2020,287,5,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/30/2020,294,7,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/07/2020,301,7,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/14/2020,306,5,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/21/2020,313,7,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/28/2020,335,22,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/04/2020,361,26,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/11/2020,384,23,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/18/2020,424,40,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/25/2020,471,47,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/02/2020,577,106,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/09/2020,1051,474,NA,NA,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/16/2020,1679,628,0,0,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/23/2020,1856,177,0,0,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/30/2020,2406,550,0,0,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/06/2021,2717,311,0,0,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/13/2021,2921,204,633,1.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/20/2021,3048,127,1441,3.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/27/2021,3137,89,2214,5.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/03/2021,3302,165,3101,7.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/10/2021,3376,74,3945,9.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/17/2021,3442,66,5534,13.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/24/2021,3470,28,6859,17.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/03/2021,3505,35,8459,21.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/10/2021,3526,21,9298,23.4,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/17/2021,3542,16,10412,26.2,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/24/2021,3556,14,12349,31.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/31/2021,3583,27,13887,34.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/07/2021,3620,37,14918,37.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/14/2021,3642,22,16081,40.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/21/2021,3664,22,16939,42.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/28/2021,3678,14,17895,45,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/05/2021,3683,5,18413,46.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/12/2021,3690,7,18993,47.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/19/2021,3702,12,19312,48.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/26/2021,3709,7,19774,49.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/02/2021,3720,11,20059,50.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/09/2021,3737,17,20194,50.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/16/2021,3756,19,20405,51.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/23/2021,3776,20,20866,52.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/30/2021,3787,11,21271,53.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/07/2021,3801,14,21657,54.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/14/2021,3817,16,21929,55.2,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/21/2021,3841,24,22157,55.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/28/2021,3895,54,22436,56.4,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/04/2021,3987,92,22705,57.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/11/2021,4130,143,23157,58.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/18/2021,4304,174,23564,59.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/25/2021,4421,117,23903,60.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/01/2021,4598,177,24225,60.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/08/2021,4725,127,24431,61.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/15/2021,4838,113,24675,62.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/22/2021,4948,110,25093,63.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/29/2021,5101,153,26097,65.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/06/2021,5249,148,26368,66.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/13/2021,5358,109,26737,67.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/20/2021,5424,66,26912,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/27/2021,5522,98,27181,68.4,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/03/2021,5595,73,27860,70.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/10/2021,5659,64,28349,71.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/17/2021,5710,51,28928,72.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,11/24/2021,5738,28,29376,73.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/01/2021,5784,46,29715,74.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/08/2021,5849,65,30184,75.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/15/2021,5882,33,30475,76.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/22/2021,5921,39,30790,77.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,12/29/2021,5984,63,31060,78.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/05/2022,6138,154,31249,78.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/12/2022,6488,350,31610,79.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/19/2022,7007,519,31923,80.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,01/26/2022,7861,854,32210,81,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/02/2022,8377,516,26016,65.4,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/09/2022,8644,267,26162,65.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/16/2022,8806,162,26277,66.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,02/23/2022,8884,78,26422,66.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/02/2022,8982,98,26523,66.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/09/2022,9061,79,26451,66.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/16/2022,9100,39,26505,66.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/23/2022,9106,6,26564,66.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,03/30/2022,9127,21,26616,67,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/06/2022,9134,7,26709,67.2,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/13/2022,9135,1,26761,67.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/20/2022,9140,5,26852,67.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,04/27/2022,9174,34,26913,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/04/2022,9210,36,27005,67.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/11/2022,9230,20,27081,68.1,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/18/2022,9261,31,26648,67,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,05/25/2022,9329,68,26780,67.4,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/01/2022,9419,90,26899,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/08/2022,9506,87,26759,67.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/15/2022,9664,158,26818,67.5,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/22/2022,9751,87,26866,67.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,06/29/2022,9946,195,26930,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/06/2022,10074,128,26964,67.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/13/2022,10171,97,26790,67.4,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/20/2022,10281,110,26853,67.6,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,07/27/2022,10400,119,26900,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/03/2022,10458,58,26950,67.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/10/2022,10508,50,26896,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/17/2022,10585,77,26925,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/24/2022,10653,68,26949,67.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,08/31/2022,10723,70,26963,67.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/07/2022,10790,67,26971,67.8,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/14/2022,10826,36,26926,67.7,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/21/2022,10875,49,26977,67.9,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,09/28/2022,10910,35,27141,68.3,0.2281,0.193,0.1579,0.1754,0.6667
Amador County,CA,10/05/2022,10924,14,27341,68.8,0.2281,0.193,0.1579,0.1754,0.6667
