"","County","Pop_Vacs","svi","ses","hhc","htt","rems","pop","vacs_100k","sum_cases_p100k"
"1","Sutter County",62449,0.7018,0.6316,0.8596,0.386,0.5439,96315,64838.2910242434,29645.4342521933
"2","Riverside County",1558701,0.6491,0.7368,0.5965,0.4035,0.7544,2437864,63937.1597431194,32114.6708758159
"3","Siskiyou County",25289,0.4561,0.5263,0.4211,0.2456,0.193,43516,58114.2568250758,20725.7100836474
"4","Napa County",115560,0.3684,0.2105,0.3684,0.6842,0.4737,138572,83393.4705423895,26361.0253153595
"5","Yolo County",165269,0.4912,0.3684,0.1053,0.9123,0.5263,218774,75543.2546829148,25449.0935851609
"6","Santa Barbara County",340381,0.807,0.614,0.5439,0.9825,0.5965,444895,76508.1648478854,27224.8508074939
"7","Monterey County",334957,0.8246,0.7193,0.5614,0.8421,0.8947,432977,77361.3840919956,28593.6666381817
"8","Kern County",514012,0.9474,0.9649,0.7544,0.9123,0.807,892458,57595.091309619,34371.4774252682
"9","Del Norte County",13158,0.7719,0.5789,0.6842,0.9649,0.4035,27692,47515.5279503106,30575.6175068612
"10","San Benito County",44069,0.3158,0.4737,0.3684,0.0877,0.7719,61547,71602.1901961103,30865.8423643719
"11","San Francisco County",808568,0.2632,0.0877,0.0175,0.8947,0.6667,874784,92430.5885795808,24402.1381278121
"12","Calaveras County",39024,0.1053,0.4211,0.3509,0,0.0526,45828,85153.1814611155,21240.2897791743
"13","Alameda County",1469997,0.2807,0.1053,0.0702,0.8772,0.8596,1661584,88469.6169438319,24613.3809665957
"14","Merced County",183423,0.9825,0.9474,0.9474,0.807,0.9649,273661,67025.6265964094,33245.1463672208
"15","Glenn County",16826,0.6667,0.6842,0.9649,0.1404,0.5088,28060,59964.3620812545,28111.1903064861
"16","Sacramento County",1101135,0.5439,0.4912,0.6316,0.4211,0.614,1537948,71597.6743036826,27028.1569988062
"17","Tuolumne County",42857,0.3333,0.4386,0.2982,0.5439,0.0877,54147,79149.3526880529,33394.2785380538
"18","Amador County",31072,0.2281,0.193,0.1579,0.6667,0.1754,39023,79624.8366348051,29995.1310765446
"19","Orange County",2453814,0.4211,0.3333,0.3158,0.4386,0.6667,3170345,77398.9581575507,25244.6973436645
"20","Lake County",40836,0.6316,0.8246,0.7895,0.2632,0.2807,64276,63532.2670981393,23427.0956500093
"21","Butte County",125030,0.5965,0.5965,0.4386,0.8596,0.2456,223344,55980.9083745254,23517.9812307472
"22","San Diego County",4315076,0.5263,0.5088,0.1754,0.7544,0.5614,3323970,129816.935772585,32392.2899424483
"23","Stanislaus County",436179,0.7193,0.7368,0.8246,0.2982,0.6491,546235,79851.8952465514,31120.6715058537
"24","Santa Clara County",1767798,0.2105,0.0526,0.0877,0.6491,0.8596,1924379,91863.2971987327,26235.1646946885
